SITE_ID,Latitude,Longitude,corr_uncorr_type,r2,MAE,MBE
US-Br1,41.9749,-93.6906,Uncorrected,0.9339276782991826,34.95465951484299,-34.95465951484299
US-Br1,41.9749,-93.6906,Corrected,0.9338676514669506,20.552041461368972,-20.481343136495767
US-OF6,35.729972,-90.0403329999999,Uncorrected,0.9170130758652268,15.660821071496827,-15.660821071496827
US-OF6,35.729972,-90.0403329999999,Corrected,0.14570892529013785,8.056464769355424,0.47251308835425715
US-Mj2,46.9957,-109.6295,Uncorrected,0.9999999999999996,6.93678634618,3.3469525219595795
US-Mj2,46.9957,-109.6295,Corrected,0.9999999999999998,9.872750604311264,9.872750604311264
Almond_Med,36.177669,-120.202644999999,Uncorrected,0.9868573385020453,27.798010667248995,-27.69710538286922
Almond_Med,36.177669,-120.202644999999,Corrected,0.9861377665562961,33.15932763151617,-33.15932763151617
US-Tw3,38.1159,-121.6467,Uncorrected,0.9838358968782037,8.004531282718332,-5.25018904294048
US-Tw3,38.1159,-121.6467,Corrected,0.9836194218607871,8.61661194349936,3.9587650429658616
US-Bo1,40.0062,-88.2904,Uncorrected,0.9432729602435747,32.929401965714284,-32.929401965714284
US-Bo1,40.0062,-88.2904,Corrected,0.9095578005025895,22.603741940758415,-22.603741940758415
US-Bkg,44.34529,-96.83617,Uncorrected,0.9680850795512342,33.48192733025695,-33.48192733025695
US-Bkg,44.34529,-96.83617,Corrected,0.9719095234498846,22.170702267201584,-22.170702267201584
US-OF2,35.7406,-90.0489,Uncorrected,0.9999999999999998,21.444822153964765,-21.444822153964765
US-OF2,35.7406,-90.0489,Corrected,1.0,3.5551785612909725,3.5551785612909725
