SITE_ID,version,corr_uncorr_type,flux_calc,openet_model,r2,MAE,MBE,Latitude,Longitude
RIP760,v3,corr,Closed,PTJPL,0.727580881931987,0.8136747036241846,-0.4958197981117456,36.839,-120.21
RIP760,v3,corr,Closed,DISALEXI,0.7649189756202909,0.7115998632456179,-0.2999745109924643,36.839,-120.21
RIP760,v3,corr,Closed,ensemble_mean,0.7687571150523524,0.7082897882394942,-0.2137440873828754,36.839,-120.21
SLM001,v3,corr,Closed,EEMETRIC,0.70277490191458,0.8624164836342966,0.4496393752593376,38.289,-121.118
SLM001,v3,corr,Closed,SSEBOP,0.8046573936357672,0.9345862817761094,-0.8221528465824893,38.289,-121.118
SLM001,v3,corr,Closed,SIMS,0.8711872615371214,0.6275056914738458,0.3576199454860698,38.289,-121.118
SLM001,v3,corr,Closed,GEESEBAL,0.6235888739653073,0.902791789736851,-0.0649960157133166,38.289,-121.118
SLM001,v3,corr,Closed,PTJPL,0.735674601147986,0.9172729452597218,-0.6174097175810354,38.289,-121.118
SLM001,v3,corr,Closed,DISALEXI,0.7974173633131375,0.6989488777293181,-0.3125545892054034,38.289,-121.118
SLM001,v3,corr,Closed,ensemble_mean,0.8559541356858633,0.5803789229382551,-0.1459180877263357,38.289,-121.118
US-AR1,v3,corr,Closed,EEMETRIC,0.4167242757858659,1.1148291336483926,-0.7607469548157418,36.4267,-99.42
US-AR1,v3,corr,Closed,SSEBOP,0.4084371705226557,1.3635674589435365,-1.127058758188286,36.4267,-99.42
US-AR1,v3,corr,Closed,SIMS,0.4537465020111564,1.175801352719087,-0.6628186177091262,36.4267,-99.42
US-AR1,v3,corr,Closed,GEESEBAL,0.4568737699321556,0.7886576016954017,-0.1619279566604433,36.4267,-99.42
US-AR1,v3,corr,Closed,PTJPL,0.7621904814658487,0.7374034654679316,-0.6037143288373091,36.4267,-99.42
US-AR1,v3,corr,Closed,DISALEXI,0.7243431048739546,0.991997731868802,-0.9529974152979992,36.4267,-99.42
US-AR1,v3,corr,Closed,ensemble_mean,0.6531926478228686,0.8364281157258583,-0.6866684436238403,36.4267,-99.42
US-Bi1,v3,corr,Closed,EEMETRIC,0.7917672284434609,0.7409783852218101,0.1889322248044319,38.0991537999999,-121.49933
US-Bi1,v3,corr,Closed,SSEBOP,0.8407077759841118,0.8926694151600169,0.6641241844520489,38.0991537999999,-121.49933
US-Bi1,v3,corr,Closed,SIMS,0.7941368326387456,0.7382993714418598,0.0644177153026011,38.0991537999999,-121.49933
US-Bi1,v3,corr,Closed,GEESEBAL,0.7741986469639934,1.1756838320427925,1.010552688050324,38.0991537999999,-121.49933
US-Bi1,v3,corr,Closed,PTJPL,0.6941327196928712,0.8760121616079043,0.2076190825488098,38.0991537999999,-121.49933
US-Bi1,v3,corr,Closed,DISALEXI,0.7719123387766887,1.0770207814451265,0.8751251137895548,38.0991537999999,-121.49933
US-Bi1,v3,corr,Closed,ensemble_mean,0.8551102035148672,0.7384475651457559,0.4939012089937151,38.0991537999999,-121.49933
US-Bi2,v3,corr,Closed,EEMETRIC,0.7608968579559795,0.8635876268586415,0.1070302439249988,38.109,-121.535
US-Bi2,v3,corr,Closed,SSEBOP,0.7585969102837822,1.035362967402455,0.6895426009895942,38.109,-121.535
